project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
Cloud Carbon Footprint,A tool to estimate energy use (kilowatt-hours) and carbon emissions (metric tons CO2e) from public cloud usage.,cloud-carbon-footprint,https://github.com/cloud-carbon-footprint/cloud-carbon-footprint.git,github,"thoughtworks,climate,sustainability,cloud,carbon-footprint,carbon-emissions,hacktoberfest",Computation and Communication,"2024/04/15, 15:23:19",845,0,205,true,TypeScript,Cloud Carbon Footprint,cloud-carbon-footprint,"TypeScript,JavaScript,Shell,Handlebars,CSS,HCL,HTML,Smarty,Dockerfile",https://cloudcarbonfootprint.org,,"2020/11/17, 20:53:48",1265,Apache-2.0,289,3443,"2024/05/03, 11:59:22",184,660,1102,127,3,37,0.3,0.851469163706813,"2024/02/11, 04:40:14",latest,1,97,false,,true,true,,,https://github.com/cloud-carbon-footprint,https://cloudcarbonfootprint.org,,,,https://avatars.githubusercontent.com/u/79275027?v=4,,,
pyJoules,A software toolkit to measure the energy footprint of a host machine along the execution of a piece of Python code.,powerapi-ng,https://github.com/powerapi-ng/pyJoules.git,github,"rapl,intel-rapl,energy-consumption,energy,python,power",Computation and Communication,"2022/10/07, 09:45:52",59,0,24,true,Python,PowerAPI,powerapi-ng,Python,,,"2019/11/19, 12:10:31",1630,MIT,0,124,"2023/09/25, 14:56:20",19,5,15,3,224,1,0,0.170940170940171,"2021/10/05, 09:25:52",v0.5.2,0,6,false,,false,false,,,https://github.com/powerapi-ng,https://powerapi.org,France,,,https://avatars.githubusercontent.com/u/47974262?v=4,,,
Carbon free energy for Google Cloud regions,Contains sustainability characteristics of Google Cloud regions in a machine readable format.,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/region-carbon-info.git,github,"google-cloud,carbon-emissions,carbon-free",Computation and Communication,"2023/12/03, 01:39:41",68,0,5,true,,Google Cloud Platform,GoogleCloudPlatform,,,,"2021/03/17, 03:42:01",1146,Apache-2.0,2,35,"2023/08/22, 04:49:09",0,4,8,2,258,0,0.5,0.133333333333333,,,0,3,false,,false,true,,,https://github.com/GoogleCloudPlatform,https://cloud.google.com,,,,https://avatars.githubusercontent.com/u/2810941?v=4,,,
FEEP, Improve the energy efficiency of free and open source software.,teams/eco,,custom,,Computation and Communication,,,,,,,,,,https://invent.kde.org/teams/eco/feep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEAF,"Simulator for modeling energy consumption in cloud, fog, and edge computing environments.",dos-group,https://github.com/dos-group/leaf.git,github,"simulation,modeling,fog-computing,edge-computing,energy-consumption",Computation and Communication,"2024/04/02, 07:53:34",97,3,22,true,Python,DOS Group at TU Berlin,dos-group,Python,https://leaf.readthedocs.io,",https://arxiv.org/pdf/2103.01170.pdf,https://arxiv.org/pdf/2110.13234.pdf","2021/01/22, 17:00:06",1200,MIT,1,45,"2022/06/08, 12:39:12",0,8,9,0,698,0,0,0.024390243902439,"2022/05/16, 14:57:54",0.4.0,0,2,false,,false,false,"ZZZZZZZZZED/leaf-GUI,Maky55-hub/soc_pybamm_simpy,ide3a/connecticity",,https://github.com/dos-group,https://tu.berlin/en/dos,Technische Universität Berlin,,,https://avatars.githubusercontent.com/u/5664005?v=4,,,
ethereum-nft-activity,Estimate the total emissions for popular CryptoArt platforms.,kylemcdonald,https://github.com/kylemcdonald/ethereum-nft-activity.git,github,"ethereum,cryptoart,climate",Computation and Communication,"2022/07/20, 22:36:38",182,0,1,false,Jupyter Notebook,,,"Jupyter Notebook,Python,Shell",,,"2021/03/09, 01:50:23",1154,MIT,0,111,"2022/03/15, 08:16:22",4,6,15,0,783,0,0.333333333333333,0.196078431372549,,,0,3,false,,false,false,,,,,,,,,,,
kube-green,A k8s operator to reduce CO2 footprint of your clusters.,kube-green,https://github.com/kube-green/kube-green.git,github,"kubernetes,k8s,green-software,resources,cloud-native,downscale,hacktoberfest,climate-change",Computation and Communication,"2024/04/29, 16:09:24",883,2,393,true,Go,,kube-green,"Go,Makefile,Shell,Dockerfile,Smarty",https://kube-green.dev,,"2021/02/21, 17:50:33",1170,MIT,87,584,"2024/04/29, 09:55:08",33,342,381,132,7,8,0.1,0.225108225108225,"2024/04/29, 16:09:53",v0.6.0-rc.1,2,12,false,,false,true,"IFPL-git/k8s-namespace-cloner-cloned,venkatvghub/k8s-namespace-cloner",,https://github.com/kube-green,https://kube-green.dev/,,,,https://avatars.githubusercontent.com/u/94223580?v=4,,,
Kepler,Uses eBPF to probe energy related system stats and exports as Prometheus metrics.,sustainable-computing-io,https://github.com/sustainable-computing-io/kepler.git,github,"kubernetes,sustainability,ebpf,prometheus-exporter,energy-consumption,energy-monitor,energy-efficiency,prometheus,cloud-native,machine-learning",Computation and Communication,"2024/05/06, 01:23:32",997,1,566,true,Go,Sustainable Computing,sustainable-computing-io,"Go,C,Shell,Makefile,Python,Dockerfile,Ruby",https://sustainable-computing.io,,"2022/02/01, 19:48:56",825,Apache-2.0,932,2055,"2024/05/03, 15:15:08",61,889,1267,745,3,16,2.2,0.724724724724725,"2024/04/08, 17:55:20",v0.7.9,0,47,false,,false,true,sustainable-computing-io/label-exporter,,https://github.com/sustainable-computing-io,www.sustainable-computing.io,United States of America,,,https://avatars.githubusercontent.com/u/91567619?v=4,,,
Software Carbon Intensity Specification,A specification that describes how to calculate a carbon intensity for software applications.,Green-Software-Foundation,https://github.com/Green-Software-Foundation/sci.git,github,,Computation and Communication,"2024/04/18, 10:08:34",247,6,62,true,HTML,Green Software Foundation,Green-Software-Foundation,"HTML,CSS,JavaScript",,,"2021/06/30, 10:35:32",1041,CUSTOM,2,173,"2024/04/11, 15:43:50",12,126,239,15,25,2,0,0.681528662420382,"2024/04/18, 10:30:26",v1.1,0,15,false,,false,false,"Toyoharu-Nishikawa/contour,Toyoharu-Nishikawa/threetest,Toyoharu-Nishikawa/loftcut,Toyoharu-Nishikawa/jscad,Toyoharu-Nishikawa/jslearning,Toyoharu-Nishikawa/jsnote",,https://github.com/Green-Software-Foundation,https://greensoftware.foundation,,,,https://avatars.githubusercontent.com/u/84547728?v=4,,,
Principles of Green Software Engineering,"Are a core set of competencies needed to define, build and run sustainable software applications.",jawache,https://github.com/jawache/principles-green.git,github,,Computation and Communication,"2023/05/23, 23:03:09",171,0,4,true,SCSS,,,"SCSS,JavaScript,Nunjucks",,,"2020/03/19, 22:00:35",1508,MIT,7,101,"2023/02/09, 20:13:06",16,31,32,0,452,12,0,0.5,,,0,15,false,,false,true,,,,,,,,,,,
grid-intensity-go,A tool written in go to help you factor carbon intensity into decisions about where and when to run computing jobs.,thegreenwebfoundation,https://github.com/thegreenwebfoundation/grid-intensity-go.git,github,,Computation and Communication,"2024/04/23, 19:02:29",54,2,21,true,Go,The Green Web Foundation,thegreenwebfoundation,"Go,HCL,Shell,Dockerfile",,",https://arxiv.org/abs/2205.02895,https://arxiv.org/abs/2110.13234\n\n###","2020/11/03, 11:31:35",1280,Apache-2.0,11,69,"2024/04/23, 18:57:07",13,51,67,13,13,0,1.9,0.144927536231884,"2023/07/13, 12:01:47",v0.5.0,1,4,false,,false,false,"rossf7/carbon-aware-karmada-operator,thegreenwebfoundation/grid-intensity-exporter",,https://github.com/thegreenwebfoundation,https://www.thegreenwebfoundation.org,The Internet,,,https://avatars.githubusercontent.com/u/8995024?v=4,,,
Eco2AI,A Python library which accumulates statistics about power consumption and CO2 emission during running code.,sb-ai-lab,https://github.com/sb-ai-lab/Eco2AI.git,github,"carbon-emissions,carbon-footprint,esg,sustainability,ai,environment,co2-emissions,co2-monitoring,energy-consumption,power-consumption-measurement,emission-tracker,deep-learning,machine-learning,python,ghg",Computation and Communication,"2024/01/26, 14:12:11",215,16,73,true,Python,,sb-ai-lab,Python,,",https://arxiv.org/abs/2208.00406,https://arxiv.org/abs/2202.10435,https://arxiv.org/abs/2112.02448,https://arxiv.org/abs/1606.08415,https://arxiv.org/abs/2110.02861","2022/05/31, 06:57:26",706,Apache-2.0,6,207,"2023/07/19, 09:20:56",4,3,5,2,292,1,0,0.481481481481482,,,0,4,false,,false,false,"dancing-coconut/opticode,agussomacal/CityPollutionModeling,kp-156/eco2ai-implementation-minor-project-,pocketgodru/Detection_cyclone,ivsemenkov/LowLatencyEEGFiltering,software-energy-cost-studies/profiling,AIRI-Institute/eco4cast,Ahmed-Khaled-Saleh/DIN-Pytorch,agussomacal/ROMHighContrast,agussomacal/PerplexityLab,agussomacal/NonLinearRBA4PDEs,antoshka17/tph,ioannismavromatis/sustainable-ai,Roman54228/lfw_facerec,pikvic/fefu-eco2ai,misanchz98/TFG-Project",,https://github.com/sb-ai-lab,,,,,https://avatars.githubusercontent.com/u/103759388?v=4,,,
impact,Compute your ML model's emissions with our calculator and add the results to your paper with our generated LaTeX template.,mlco2,https://github.com/mlco2/impact.git,github,,Computation and Communication,"2023/11/13, 18:44:52",178,0,43,true,HTML,,mlco2,"HTML,SCSS,CSS,JavaScript",https://mlco2.github.io/impact,",https://arxiv.org/pdf/1910.09700","2019/08/13, 14:57:51",1728,MIT,1,167,"2023/09/18, 16:39:24",10,31,38,1,231,2,0.1,0.142857142857143,,,1,11,false,,false,false,,,https://github.com/mlco2,,,,,https://avatars.githubusercontent.com/u/54071934?v=4,,,
