,project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update,project_age_in_years,activity,community,size,total_score
160,Calliope,"A framework to develop energy system models, with a focus on flexibility, high spatial and temporal resolution, the ability to execute many runs based on the same base model, and a clear separation of framework and model.",calliope-project,https://github.com/calliope-project/calliope.git,github,"python,pyomo,energy,optimisation,energy-system",Energy Modeling and Optimization,"2021/09/10, 15:14:22",184.0,16.0,26.0,True,Python,Calliope,calliope-project,"Python,TeX,Makefile",https://www.callio.pe,"2013/09/18, 17:58:41",3264.0,Apache-2.0,1.0,1097.0,"2022/03/29, 17:26:08",50.0,150.0,328.0,7.0,150.0,2.0,15.9,0.2397540983606557,"2022/02/07, 17:28:02",v0.6.8,0.0,11.0,False,,True,True,"linz94/birdcatdetection,faustoschiavoni/Calliope_Hydro_Fausto_0,minotm/NTA,arup-group/calliope,rviccinig/Electricity_Modelling_Copy_public,calliope-project/calliope_plot,brynpickering/friendly-calliope,ahilbers/renewable_test_PSMs,NREL/engage,mirrorecho/rwestmusic-operating-theater,mirrorecho/rwestmusic-imaginary,mirrorecho/rwestmusic-folktale,mirrorecho/rwestmusic-roastbeef,mirrorecho/rwestmusic-copper,mirrorecho/rwestmusic-options-changed,mirrorecho/shami",,https://github.com/calliope-project,https://www.callio.pe/,,,,https://avatars.githubusercontent.com/u/10073020?v=4,,,,8.942465753424658,1.8671617161716174,2.0981848184818483,2.83993399339934,0.672241372566074
161,Euro-Calliope,A model of the European electricity system built using Calliope.,calliope-project,https://github.com/calliope-project/euro-calliope.git,github,"calliope-models,conda,europe,research,energy,renewable-energy",Energy Modeling and Optimization,"2022/05/31, 19:22:12",24.0,0.0,8.0,True,Python,Calliope,calliope-project,Python,,"2018/10/15, 14:03:05",1412.0,MIT,139.0,536.0,"2022/05/19, 07:06:36",68.0,103.0,175.0,48.0,100.0,6.0,8.0,0.354679802955665,"2021/12/23, 16:41:14",v1.1,0.0,6.0,False,,False,True,,,https://github.com/calliope-project,https://www.callio.pe/,,,,https://avatars.githubusercontent.com/u/10073020?v=4,,,,3.8684931506849316,2.6666666666666665,1.9793729372937294,2.235148514851485,0.6929351964084826
162,OSeMOSYS,"An open source modeling system for long-run integrated assessment and energy planning. It has been employed to develop energy systems models from the scale of continents (African Power Pools, South America, EU28+2) down to the scale of countries, regions and villages.",OSeMOSYS,https://github.com/OSeMOSYS/OSeMOSYS.git,github,"energy-model,energy,osemosys,energy-planners,investment,students",Energy Modeling and Optimization,"2021/05/21, 13:55:13",107.0,0.0,14.0,True,,OSeMOSYS,OSeMOSYS,,http://www.osemosys.org,"2016/10/03, 08:53:55",2154.0,Apache-2.0,0.0,335.0,"2021/05/26, 10:27:29",44.0,32.0,71.0,1.0,458.0,0.0,0.4,0.5757575757575757,,,0.0,12.0,False,,True,True,,,https://github.com/OSeMOSYS,http://www.osemosys.org/,,,,https://avatars.githubusercontent.com/u/14215860?v=4,,,,5.901369863013699,1.2417491749174916,2.1303630363036303,1.9645214521452146,0.536140546337257
164,FINE,"Provides a framework for modeling, optimizing and assessing energy systems.",FZJ-IEK3-VSA,https://github.com/FZJ-IEK3-VSA/FINE.git,github,,Energy Modeling and Optimization,"2022/02/15, 12:55:37",41.0,9.0,16.0,True,Python,FZJ-IEK3,FZJ-IEK3-VSA,"Python,Dockerfile",,"2018/07/02, 14:48:55",1516.0,CUSTOM,201.0,1528.0,"2022/02/15, 11:14:00",0.0,32.0,42.0,6.0,193.0,0.0,0.0,0.7737226277372262,"2022/02/15, 11:15:24",v2.2.2,0.0,18.0,False,,False,False,"felixarjuna/EnSysMod_Model_Test,felixarjuna/EnSysMod_Back_End,IFIF3526/aws-memo-server,girafe-ai/msai-python,raccoon-dog-p/aws-python-flask-project,NOWUM/EnSysMod,jkong72/serverless-flask-movie-server,fhac-ewi/gas-wasserstoff,vsreelasya/Search-engine",,https://github.com/FZJ-IEK3-VSA,https://www.fz-juelich.de/iek/iek-3/EN/Home/home_node.html,Forschungszentrum Jülich,,,https://avatars.githubusercontent.com/u/28654423?v=4,,,,4.153424657534247,2.566831683168317,1.985973597359736,2.349009900990099,0.6926393538614714
165,CoMPAS,Formed to develop open source software components related to IEC 61850 model implementation (profile management) and configuration of a power industry Protection Automation and Control System.,com-pas,https://github.com/com-pas/compas-architecture.git,github,,Energy Modeling and Optimization,"2022/08/24, 07:10:41",8.0,0.0,3.0,True,CSS,CoMPAS - (Co)nfiguration (M)odules for (P)ower industry (A)utomation (S)ystems,com-pas,"CSS,XQuery,HTML",,"2020/04/22, 12:41:08",857.0,CC-BY-4.0,29.0,274.0,"2022/08/24, 07:10:42",22.0,88.0,141.0,29.0,3.0,0.0,0.9,0.3406113537117904,,,0.0,9.0,False,,False,False,,,https://github.com/com-pas,https://www.lfenergy.org/all-projects/compas/,,,,https://avatars.githubusercontent.com/u/63782197?v=4,,,,2.347945205479452,1.3787128712871288,1.8844884488448845,2.137788778877888,0.5375231289024833
166,PowerSimulations.jl,A Julia package for power system modeling and simulation of Power Systems operations.,NREL-SIIP,https://github.com/NREL-SIIP/PowerSimulations.jl.git,github,"julia,powersystems,optimization,energy,electricity,analysis,simulations",Energy Modeling and Optimization,"2022/08/12, 01:17:37",174.0,0.0,35.0,True,Julia,NREL-SIIP,NREL-SIIP,Julia,https://www.nrel.gov/analysis/siip.html,"2017/11/03, 21:11:22",1757.0,BSD-3-Clause,1662.0,7101.0,"2022/08/12, 01:18:06",21.0,647.0,850.0,134.0,15.0,4.0,1.9,0.2661238825031928,"2022/04/29, 06:04:49",v0.15.4,0.0,21.0,False,,False,True,,,https://github.com/NREL-SIIP,https://www.nrel.gov/analysis/siip.html,"Golden, CO",,,https://avatars.githubusercontent.com/u/44615001?v=4,,,,4.813698630136987,2.9158415841584158,2.1955445544554455,3.5536303630363033,0.8542413585994838
167,PowerSystems.jl,Provides a rigorous data model using Julia structures to enable power systems analysis and modeling.,NREL-SIIP,https://github.com/NREL-SIIP/PowerSystems.jl.git,github,"julia,powersystems,energy-system,electrical,siip,nrel",Energy Modeling and Optimization,"2022/08/04, 16:27:49",211.0,0.0,50.0,True,Julia,NREL-SIIP,NREL-SIIP,"Julia,Python",https://www.nrel.gov/analysis/siip.html,"2017/12/12, 21:11:06",1718.0,BSD-3-Clause,289.0,4472.0,"2022/08/18, 21:50:32",33.0,600.0,875.0,104.0,8.0,1.0,1.4,0.440877914951989,"2022/08/04, 16:46:47",v1.23.0,0.0,20.0,False,,False,True,,,https://github.com/NREL-SIIP,https://www.nrel.gov/analysis/siip.html,"Golden, CO",,,https://avatars.githubusercontent.com/u/44615001?v=4,,,,4.706849315068493,2.801155115511551,2.3292079207920793,3.50990099009901,0.8534553564151054
168,Balmorel,A partial equilibrium model for analyzing the electricity and combined heat and power sectors in an international perspective.,balmorelcommunity,https://github.com/balmorelcommunity/Balmorel.git,github,"energy-system-model,gams,optimisation-model",Energy Modeling and Optimization,"2022/03/29, 12:41:13",22.0,0.0,6.0,True,Jupyter Notebook,Balmorel Community,balmorelcommunity,"Jupyter Notebook,GAMS,HTML,Python,MATLAB",http://www.balmorel.com,"2017/07/06, 15:22:21",1877.0,BSD-3-Clause,39.0,431.0,"2021/12/08, 10:22:50",2.0,17.0,17.0,13.0,262.0,1.0,0.4,0.1333333333333333,"2019/12/13, 09:34:34",REgas_191215,0.0,5.0,False,,False,False,,,https://github.com/balmorelcommunity,,,,,https://avatars.githubusercontent.com/u/29952453?v=4,,,,5.142465753424657,2.1831683168316833,1.33003300330033,1.3424092409240924,0.49373508233039365
170,The Open Energy Ontology,A domain ontology of the energy-system modeling context.,OpenEnergyPlatform,https://github.com/OpenEnergyPlatform/ontology.git,github,"ontology,energy,open-energy-family",Energy Modeling and Optimization,"2022/08/25, 13:07:23",56.0,0.0,21.0,True,Python,Open Energy Family,OpenEnergyPlatform,"Python,Makefile,Shell,Batchfile",,"2018/06/06, 12:04:47",1543.0,CC0-1.0,1178.0,3350.0,"2022/08/24, 15:18:05",75.0,611.0,1192.0,385.0,2.0,4.0,2.1,0.7311461440136344,"2022/07/04, 18:38:00",v1.11.0,5.0,28.0,False,,True,True,,,https://github.com/OpenEnergyPlatform,https://github.com/OpenEnergyPlatform/organisation/blob/master/README.md,"Magdeburg, Germany",,,https://avatars.githubusercontent.com/u/37101913?v=4,,,,4.227397260273973,2.863861386138614,2.7615511551155114,3.5635313531353137,0.9132552179091408
171,nempy,Aims to enhance the Australian electricity industries modeling and analytical capabilities.,UNSW-CEEM,https://github.com/UNSW-CEEM/nempy.git,github,,Energy Modeling and Optimization,"2022/04/29, 04:24:57",26.0,1.0,16.0,True,Python,Collaboration on Energy and Environmental Markets (CEEM),UNSW-CEEM,"Python,TeX",,"2020/04/14, 04:36:37",865.0,BSD-3-Clause,105.0,305.0,"2022/03/05, 07:41:16",0.0,2.0,7.0,6.0,175.0,0.0,0.0,0.0034246575342465,"2022/05/02, 01:39:50",v1.1.5,0.0,2.0,False,,False,False,dec-heim/NEMED,,https://github.com/UNSW-CEEM,http://ceem.unsw.edu.au/,Sydney Australia,,,https://avatars.githubusercontent.com/u/33536784?v=4,,,,2.3698630136986303,2.532178217821782,0.4661716171617162,0.7178217821782178,0.38115542614274545
172,NEMO,The National Electricity Market Optimizer is a chronological dispatch model for testing and optimizing different portfolios of conventional and renewable electricity generation technologies.,bje-,https://github.com/bje-/NEMO.git,github,,Energy Modeling and Optimization,"2022/08/21, 01:54:46",26.0,0.0,8.0,True,Python,,,"Python,Makefile",,"2015/11/23, 00:43:29",2469.0,GPL-3.0,186.0,1452.0,"2022/07/16, 11:46:49",1.0,0.0,3.0,1.0,42.0,0.0,0.0,0.0,,,0.0,1.0,False,,False,False,,,,,,,,,,,,6.764383561643836,1.5140264026402641,0.31683168316831684,0.8828382838283828,0.2702249790365336
173,GlobalEnergyGIS,Generates input data for energy models on renewable energy in arbitrary world regions using public datasets.,niclasmattsson,https://github.com/niclasmattsson/GlobalEnergyGIS.git,github,,Energy Modeling and Optimization,"2022/04/11, 12:42:08",50.0,0.0,24.0,True,Julia,,,Julia,,"2019/05/21, 08:27:31",1194.0,MIT,26.0,359.0,"2020/05/11, 12:19:09",15.0,0.0,3.0,0.0,838.0,4.0,0.0,0.0,,,0.0,1.0,False,,False,False,,,,,,,,,,,,3.271232876712329,1.594884488448845,0.31683168316831684,0.5346534653465347,0.24960283700354047
174,Antares Simulator,"An Open Source power system simulator to quantify the adequacy or the economic performance of interconnected energy systems, at short or remote time horizons.",AntaresSimulatorTeam,https://github.com/AntaresSimulatorTeam/Antares_Simulator.git,github,"adequacy,simulation,power-systems",Energy Modeling and Optimization,"2022/08/26, 13:36:14",35.0,0.0,8.0,True,C,AntaresSimulatorTeam,AntaresSimulatorTeam,"C,C++,CMake,Python,Ruby,Shell,NSIS,HTML",https://antares-simulator.org,"2018/07/03, 14:05:14",1516.0,CUSTOM,279.0,1203.0,"2022/08/26, 13:36:18",134.0,496.0,705.0,422.0,1.0,37.0,1.3,0.4938388625592417,"2022/08/23, 11:19:18",v8.3.1,0.0,12.0,False,,False,True,,,https://github.com/AntaresSimulatorTeam,,,,,https://avatars.githubusercontent.com/u/40797821?v=4,,,,4.153424657534247,2.822607260726073,2.2566006600660065,3.1402640264026402,0.816564346826052
175,Hierarchical Engine for Large-scale Infrastructure Co-Simulation,"Today the core uses are in the energy domain, where there is extensive and growing support for a wide-range of electric power system, natural gas, communications and control-schemes, transportation, buildings, and related domain tools.",GMLC-TDC,https://github.com/GMLC-TDC/HELICS.git,github,"simulation,co-simulation,power-grids,simulation-framework",Energy Modeling and Optimization,"2022/07/22, 12:38:20",81.0,0.0,15.0,True,C++,GMLC-TDC,GMLC-TDC,"C++,C,Java,CMake,Shell,Python,MATLAB,SWIG,C#,Makefile,M,CSS",https://docs.helics.org/en/latest/,"2017/06/01, 17:03:19",1912.0,BSD-3-Clause,212.0,3315.0,"2022/08/15, 15:42:48",78.0,1794.0,2315.0,327.0,11.0,9.0,1.4,0.4564983888292159,"2022/06/16, 18:06:32",v3.2.1,1.0,31.0,False,,True,True,,,https://github.com/GMLC-TDC,https://helics.org,,,,https://avatars.githubusercontent.com/u/22627455?v=4,,,,5.238356164383561,2.8259075907590763,2.433993399339934,3.693894389438944,0.8833002983414802
176,oemof-solph,A model generator for energy system modeling and optimization.,oemof,https://github.com/oemof/oemof-solph.git,github,"energy,energy-system,modelling,modelling-framework",Energy Modeling and Optimization,"2022/08/24, 11:43:26",214.0,0.0,34.0,True,Python,oemof community,oemof,"Python,Batchfile",https://oemof.org,"2015/11/24, 13:38:22",2468.0,MIT,309.0,5858.0,"2022/08/24, 11:43:31",101.0,379.0,755.0,72.0,3.0,24.0,1.0,0.5879907621247114,"2021/06/03, 07:21:25",v0.4.4,0.0,34.0,False,,True,True,,,https://github.com/oemof,https://oemof.org,Germany,,,https://avatars.githubusercontent.com/u/8503379?v=4,,,,6.761643835616439,2.2656765676567656,2.5107260726072607,3.5528052805280526,0.8206996863505056
177,oemof-thermal,"Provides tools to model thermal energy components as an extension of oemof.solph, e.g. compression heat pumps, concentrating solar plants, thermal storage and solar thermal collectors.",oemof,https://github.com/oemof/oemof-thermal.git,github,,Energy Modeling and Optimization,"2021/11/15, 18:54:14",19.0,0.0,4.0,True,Python,oemof community,oemof,Python,https://oemof.org,"2016/01/11, 10:29:40",2420.0,MIT,6.0,1168.0,"2021/11/15, 18:43:00",20.0,98.0,162.0,2.0,284.0,3.0,1.2,0.6730337078651685,"2021/11/15, 18:46:31",v0.0.5,0.0,12.0,False,,False,False,,,https://github.com/oemof,https://oemof.org,Germany,,,https://avatars.githubusercontent.com/u/8503379?v=4,,,,6.63013698630137,1.8976897689768975,2.4224422442244222,2.674092409240924,0.6980625334864704
180,openENTRANCE,"The Horizon 2020 openENTRANCE project aims at developing, using and disseminating an open, transparent and integrated modeling platform for assessing low-carbon transition pathways in Europe.",openENTRANCE,https://github.com/openENTRANCE/openentrance.git,github,,Energy Modeling and Optimization,"2022/08/25, 14:42:38",25.0,0.0,5.0,True,Python,H2020 openENTRANCE,openENTRANCE,"Python,Jupyter Notebook",http://openentrance.eu,"2020/03/13, 14:21:37",896.0,Apache-2.0,105.0,164.0,"2022/08/25, 14:42:38",31.0,161.0,192.0,106.0,1.0,4.0,1.3,0.6075949367088608,"2021/11/18, 09:08:34",v0.2,0.0,21.0,False,,False,False,,,https://github.com/openENTRANCE,https://openentrance.eu,,,,https://avatars.githubusercontent.com/u/60662804?v=4,,,,2.4547945205479453,2.127887788778878,2.504950495049505,2.4760726072607264,0.7151526332071051
182,The IDAES Toolkit,"Aims to provide multi-scale, simulation-based, open source computational tools and models to support the design, analysis, optimization, scale-up, operation and troubleshooting of innovative, advanced energy systems.",IDAES,https://github.com/IDAES/idaes-pse.git,github,"process-systems-engineering,process-modeling,chemical-engineering",Energy Modeling and Optimization,"2022/08/25, 21:50:27",119.0,6.0,48.0,True,Python,IDAES,IDAES,"Python,Jupyter Notebook,JavaScript,HTML,PureBasic,CSS,Dockerfile,Shell",https://idaes-pse.readthedocs.io/,"2019/02/01, 01:12:51",1303.0,CUSTOM,919.0,8968.0,"2022/08/25, 21:55:19",93.0,551.0,805.0,447.0,1.0,10.0,4.7,0.7410190615835777,"2022/08/25, 16:51:29",2.0.0a3,0.0,47.0,False,,False,False,"project-pareto/pareto-ui,IDAES/publications,htran7-uw/Covid19_Pipeline,project-pareto/project-pareto,watertap-org/watertap,IDAES/examples-pse",,https://github.com/IDAES,https://idaes.org,,,,https://avatars.githubusercontent.com/u/16325231?v=4,,,,3.56986301369863,2.9727722772277225,2.8943894389438944,3.673267326732673,0.9489543116507301
183,Temoa,Tools for Energy Model Optimization and Analysis (Temoa) is an open source modeling framework for conducting energy system analysis.,TemoaProject,https://github.com/TemoaProject/temoa.git,github,,Energy Modeling and Optimization,"2022/07/01, 19:14:31",65.0,0.0,17.0,True,Python,,,"Python,Jupyter Notebook,Shell",http://temoacloud.com,"2015/01/10, 19:22:06",2785.0,GPL-2.0,30.0,877.0,"2022/02/08, 09:20:37",6.0,19.0,28.0,7.0,200.0,1.0,0.0,0.6671826625386996,"2018/01/09, 13:11:40",v1.0.0,0.0,12.0,False,,False,True,,,,,,,,,,,,7.63013698630137,1.9603960396039604,1.811881188118812,1.9694719471947195,0.5769183338479454
184,PowerSystemDataModel,Provides an extensive data model capable of modeling energy systems with high granularity e.g. for bottom-up simulations.,ie3-institute,https://github.com/ie3-institute/PowerSystemDataModel.git,github,"simulation,datamodel,powersystem",Energy Modeling and Optimization,"2022/08/25, 13:40:45",14.0,0.0,5.0,True,Java,"Institute of Energy Systems, Energy Efficiency and Energy Economics - ie3",ie3-institute,"Java,Groovy",,"2020/01/23, 16:00:59",946.0,BSD-3-Clause,432.0,2635.0,"2022/08/25, 13:41:00",49.0,397.0,604.0,229.0,2.0,8.0,0.8,0.6244082062072593,"2022/01/05, 10:43:25",2.1.0,7.0,19.0,False,,False,True,,,https://github.com/ie3-institute,https://ie3.etit.tu-dortmund.de/,"Dortmund, Germany ",,,https://avatars.githubusercontent.com/u/58265273?v=4,,,,2.591780821917808,2.523927392739274,2.405115511551155,3.331683168316832,0.8176573177887067
185,PyPSA-Eur-Sec,A Sector-Coupled Open Optimisation Model of the European Energy System.,PyPSA,https://github.com/PyPSA/pypsa-eur-sec.git,github,"pypsa,energy,energy-system,energy-model,energy-system-model",Energy Modeling and Optimization,"2022/08/09, 19:33:31",56.0,0.0,31.0,True,Python,PyPSA,PyPSA,Python,https://pypsa-eur-sec.readthedocs.io/,"2019/04/17, 15:43:45",1227.0,MIT,232.0,671.0,"2022/08/05, 10:26:06",71.0,136.0,191.0,109.0,22.0,12.0,1.3,0.6865942028985508,"2021/10/04, 16:15:09",v0.6.0,0.0,12.0,False,,False,False,,,https://github.com/PyPSA,www.pypsa.org,,,,https://avatars.githubusercontent.com/u/32890768?v=4,,,,3.361643835616438,2.570957095709571,2.4595709570957096,2.6419141914191417,0.7709336675554752
186,antaresViz,"Visualize the results of Antares, an Open Source power system simulator meant to be used by anybody placing value in quantifying the adequacy or the economic performance of interconnected energy systems, at short or remote time horizons.",rte-antares-rpackage,https://github.com/rte-antares-rpackage/antaresViz.git,github,"r,monte-carlo-simulation,simulation,optimization,linear-programming,stochastic-simulation-algorithm,energy,electric,renewable-energy,adequacy,shiny,shiny-apps,manipulatewidge,dygraphs,plotly,leaflet,rte,bilan,previsionnel,tyndp",Energy Modeling and Optimization,"2021/11/24, 08:12:39",18.0,0.0,1.0,True,R,rte-antares-rpackage,rte-antares-rpackage,"R,HTML,JavaScript,CSS",https://rte-antares-rpackage.github.io/antaresViz,"2016/11/15, 16:47:23",2110.0,MIT,21.0,919.0,"2021/11/05, 10:28:10",37.0,28.0,153.0,5.0,295.0,0.0,0.0,0.6215864759427828,"2020/11/13, 10:04:51",v0.15.3,0.0,9.0,False,,False,False,,,https://github.com/rte-antares-rpackage,https://rte-antares-rpackage.github.io/rPackagesRte/,,,,https://avatars.githubusercontent.com/u/23478907?v=4,,,,5.780821917808219,2.0165016501650164,1.646039603960396,2.2516501650165015,0.5878659077812758
187,antaresRead,"Import, manipulate and explore the results of an Antares simulation.",rte-antares-rpackage,https://github.com/rte-antares-rpackage/antaresRead.git,github,"r,monte-carlo-simulation,optimisation,simulation,linear-algebra,energy,electricity,adequacy,rhdf5,hdf5,rte,tyndp,bilan,previsionnel",Energy Modeling and Optimization,"2022/06/01, 09:48:46",10.0,0.0,1.0,True,R,rte-antares-rpackage,rte-antares-rpackage,R,,"2016/11/15, 15:26:32",2110.0,MIT,60.0,932.0,"2022/06/01, 09:49:02",25.0,62.0,146.0,13.0,87.0,1.0,0.0,0.5727636849132176,"2022/03/31, 07:49:31",v2.2.95,0.0,9.0,False,,False,False,,,https://github.com/rte-antares-rpackage,https://rte-antares-rpackage.github.io/rPackagesRte/,,,,https://avatars.githubusercontent.com/u/23478907?v=4,,,,5.780821917808219,2.396039603960396,1.5849834983498348,2.3894389438943895,0.6327938344854843
188,Spine-Toolbox,"An application to define, manage, and execute various energy system simulation models.",Spine-project,https://github.com/Spine-project/Spine-Toolbox.git,github,"spine-toolbox,python,energy,anaconda,miniconda,simulation-model,workflow,data",Energy Modeling and Optimization,"2022/08/26, 09:36:35",42.0,0.0,14.0,True,Python,Spine project,Spine-project,"Python,Inno Setup,GAMS,Batchfile,Julia",http://www.spine-model.org,"2018/09/26, 07:24:52",1431.0,LGPL-3.0,596.0,5932.0,"2022/08/26, 09:37:18",231.0,12.0,1485.0,240.0,1.0,3.0,3.4,0.6155339805825243,"2021/09/17, 13:22:38",0.6.5-final.0,4.0,12.0,False,,False,False,,,https://github.com/Spine-project,http://www.spine-model.org/,,,,https://avatars.githubusercontent.com/u/42807090?v=4,,,,3.9205479452054797,2.4414191419141913,2.5066006600660065,2.8605610561056105,0.7808243888203291
189,demandlib,With the demandlib you can create power and heat profiles for various sectors by scaling them to your desired demand.,oemof,https://github.com/oemof/demandlib.git,github,,Energy Modeling and Optimization,"2022/07/12, 19:20:10",38.0,17.0,10.0,True,Python,oemof community,oemof,Python,https://oemof.org,"2016/04/08, 06:17:48",2332.0,MIT,57.0,230.0,"2022/07/12, 19:20:11",10.0,20.0,41.0,15.0,45.0,1.0,1.6,0.390625,"2021/01/27, 16:20:30",v0.1.8,0.0,11.0,False,,False,True,"moritz-reuter/ESEM-EE,rl-institut/Uganda_oemof,MarBrandt/MBTools,mltja/edisgo,GregorBecker/SESMG,inecmod/LAEND_v031,rl-institut/oemof-B3,chrklemm/SESMG,lilychau1/smart_meter_data_analysis,brizett/reegis_hp,greco-project/pvcompare,reegis/berlin_hp,reegis/deflex,rl-institut/appBBB,reegis/reegis,openego/data_processing,openego/eDisGo",,https://github.com/oemof,https://oemof.org,Germany,,,https://avatars.githubusercontent.com/u/8503379?v=4,,,,6.389041095890411,2.0618811881188117,2.157590759075908,1.692244224422442,0.6033376924451287
192,deflex,"Flexible multi-regional energy system model for heat, power and mobility.",reegis,https://github.com/reegis/deflex.git,github,,Energy Modeling and Optimization,"2022/06/22, 19:47:21",11.0,2.0,1.0,True,Python,reegis,reegis,Python,,"2018/01/29, 14:07:48",1671.0,MIT,144.0,939.0,"2022/02/25, 08:45:03",9.0,27.0,27.0,5.0,183.0,0.0,0.0,0.0769230769230768,"2022/02/25, 14:08:07",v0.4.0rc2,1.0,5.0,False,,False,True,"reegis/deflex,uvchik/reegis_phd",,https://github.com/reegis,,,,,https://avatars.githubusercontent.com/u/35924869?v=4,,,,4.578082191780822,2.4686468646864688,0.8448844884488449,1.7145214521452143,0.5006126334618543
193,energy-py-linear,Optimizing energy systems using mixed integer linear programming.,ADGEfficiency,https://github.com/ADGEfficiency/energy-py-linear.git,github,"python,optimization,energy",Energy Modeling and Optimization,"2022/06/26, 05:52:19",35.0,0.0,10.0,True,Python,,,"Python,Makefile",,"2019/01/15, 21:59:41",1319.0,MIT,22.0,118.0,"2022/06/26, 05:52:22",1.0,10.0,18.0,3.0,62.0,0.0,0.1,0.2549019607843137,,,0.0,3.0,False,,False,False,,,,,,,,,,,,3.6136986301369864,1.3729372937293727,1.1262376237623761,0.8622112211221122,0.3446210750729078
195,AnyMOD.jl,Creating large scale energy system models with multiple periods of capacity expansion formulated as linear optimization problems.,leonardgoeke,https://github.com/leonardgoeke/AnyMOD.jl.git,github,"capacity-expansion-planning,energy,julia,linear-programming,optimization",Energy Modeling and Optimization,"2022/06/26, 11:55:53",49.0,0.0,11.0,True,Julia,,,Julia,,"2019/09/11, 19:08:21",1080.0,MIT,21.0,425.0,"2022/06/26, 12:10:38",4.0,9.0,13.0,1.0,62.0,2.0,0.0,0.0,"2022/06/24, 13:16:26",v0.1.10,0.0,1.0,False,,False,False,,,,,,,,,,,,2.958904109589041,1.8952145214521452,0.31683168316831684,0.8853135313531353,0.31085248154517076
196,FlexiGIS,"Extracts, filters and categorizes the geo-referenced urban energy infrastructure and allocates the required decentralized storage in urban settings.",FlexiGIS,https://github.com/FlexiGIS/FlexiGIS.git,github,,Energy Modeling and Optimization,"2022/08/23, 05:06:00",12.0,0.0,6.0,True,Python,,,"Python,Makefile",,"2019/12/02, 08:47:33",999.0,MIT,18.0,132.0,"2022/08/23, 05:06:01",1.0,6.0,6.0,4.0,4.0,1.0,0.0,0.1639344262295081,"2021/02/03, 08:41:08",v1.0.0,0.0,4.0,False,,False,False,,,,,,,,,,,,2.736986301369863,1.3267326732673268,0.8613861386138614,0.792904290429043,0.30410513351066293
198,reVX,Renewable Energy Potential(V) eXchange Toot.,NREL,https://github.com/NREL/reVX.git,github,,Energy Modeling and Optimization,"2022/08/09, 16:24:16",10.0,1.0,2.0,True,Python,National Renewable Energy Laboratory,NREL,"Python,Tcl,Dockerfile,Shell",https://nrel.github.io/reVX/,"2019/08/08, 21:07:31",1114.0,BSD-3-Clause,244.0,1440.0,"2022/08/09, 16:24:19",7.0,103.0,151.0,32.0,17.0,2.0,1.6,0.3298192771084337,"2022/08/09, 19:11:37",v0.3.44,0.0,6.0,False,,False,False,NREL-SIIP/reV-PowerSystems,,https://github.com/NREL,http://www.nrel.gov,"Golden, CO",,,https://avatars.githubusercontent.com/u/1906800?v=4,,,,3.052054794520548,2.7202970297029703,1.8473597359735972,2.438943894389439,0.7008545990222762
200,DPsim,A solver library for dynamic power system simulation.,sogno-platform,https://github.com/sogno-platform/dpsim.git,github,"simulation,real-time,dynamic-phasors,powerflow,electromagnetic-transient,power-systems,emt,quasi-stationary",Energy Modeling and Optimization,"2022/07/27, 12:14:49",31.0,5.0,11.0,True,C++,SOGNO,sogno-platform,"C++,CMake,C,Shell,Python,Dockerfile,Makefile,HTML",https://dpsim-simulator.github.io,"2020/01/29, 08:49:59",941.0,MPL-2.0,509.0,3895.0,"2022/07/20, 06:51:14",38.0,56.0,71.0,51.0,38.0,16.0,0.2,0.6333024405313562,,,0.0,19.0,False,,False,False,"martinmoraga/dpsim,JTS22/dpsim,gnakti/dpsim,pipeacosta/dpsim,sogno-platform/dpsim",,https://github.com/sogno-platform,https://sogno.energy/,,,,https://avatars.githubusercontent.com/u/73550268?v=4,,,,2.578082191780822,2.232673267326733,2.2079207920792077,2.695544554455445,0.711240770658237
201,PyPSA meets Africa,A free and open source software project aiming to develop a powerful energy system model for Africa.,pypsa-meets-africa,https://github.com/pypsa-meets-africa/pypsa-africa.git,github,"pypsa-africa,pypsa-meets-africa",Energy Modeling and Optimization,"2022/08/26, 09:39:31",53.0,0.0,40.0,True,Python,,pypsa-meets-africa,Python,https://pypsa-meets-africa.readthedocs.io/en/latest/index.html,"2021/02/28, 19:26:35",544.0,GPL-3.0,1886.0,2252.0,"2022/08/25, 16:29:08",59.0,242.0,354.0,301.0,1.0,6.0,0.4,0.7147707979626485,"2022/04/06, 17:11:14",v0.0.2,15.0,22.0,False,,False,False,,,https://github.com/pypsa-meets-africa,,,,,https://avatars.githubusercontent.com/u/84225086?v=4,,,,1.4904109589041097,2.702145214521452,2.41996699669967,3.2186468646864688,0.8287479196813994
