project_name,oneliner,git_namespace,git_url,topics,rubric,last_update,stargazers_count,number_of_dependents,stars_last_year,project_active_checkbox,dominating_language,organization,organization_user_name,languages,homepage,created,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,open_pullrequests,reviews_per_pr,community_development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,organization_avatar,dependents_repos
pvtrace,Optical ray tracing for luminescent materials and spectral converter photovoltaic devices.,danieljfarrell,https://github.com/danieljfarrell/pvtrace.git,"python,photovoltaics,raytracing,optics,energy",Photovoltaics and Solar Energy,"2021/10/21, 22:41:14",78,1,10,true,Python,,,Python,,"2011/01/05, 14:28:41",CUSTOM,1,185,"2021/02/18, 13:43:32",11,21,44,4,0.5,0.019108280254777066,"2020/11/18, 23:04:23",2.1.6,0,5,false,,false,false,https://avatars.githubusercontent.com/u/53880406?v=4,danieljfarrell/pvtrace
SolarPILOT,Solar power tower layout and optimization tool.,NREL,https://github.com/NREL/SolarPILOT.git,,Photovoltaics and Solar Energy,"2021/09/17, 20:36:36",22,0,5,true,C++,NREL,National Renewable Energy Laboratory,"C++,HTML,Python,Rich Text Format,CSS,C,CMake,Inno Setup,JavaScript,TeX,Makefile,Shell",https://www.nrel.gov/csp/solarpilot.html,"2017/03/24, 18:22:25",CUSTOM,12,286,"2021/09/17, 20:36:38",12,38,64,1,0.0,0.047808764940239,"2019/01/03, 19:40:08",v1.3.2,0,2,false,,false,true,https://avatars.githubusercontent.com/u/1906800?v=4,
solar-data-tools,Data analysis tools for working with historical PV solar time-series data sets.,slacgismo,https://github.com/slacgismo/solar-data-tools.git,,Photovoltaics and Solar Energy,"2021/10/29, 18:39:31",25,5,11,true,Jupyter Notebook,SLAC GISMo,slacgismo,"Jupyter Notebook,Python,Shell",,"2019/02/17, 00:28:25",BSD-2-Clause,168,534,"2021/10/13, 17:52:00",8,57,64,5,0.0,0.13636363636363635,"2021/09/28, 20:47:52",v0.5.4,0,7,false,,false,true,https://avatars.githubusercontent.com/u/19895500?v=4,"slacgismo/pv-system-profiler,DuraMAT/pvpro,slacgismo/solar-data-pipeline,slacgismo/StatisticalClearSky,tadatoshi/StatisticalClearSky"
SolarPV-DER-simulation-utility,Allows user to run dynamics simulations for solar photovoltaic distributed energy resource connected to a stiff voltage source or to an external program.,tdcosim,https://github.com/tdcosim/SolarPV-DER-simulation-tool.git,,Photovoltaics and Solar Energy,"2021/09/16, 21:02:00",20,1,3,true,Python,TDcoSim Team,tdcosim,Python,,"2019/03/19, 21:59:40",CUSTOM,41,205,"2021/09/09, 05:07:30",3,17,26,0,0.0,0.014925373134328401,,,0,2,false,,false,false,https://avatars.githubusercontent.com/u/52003368?v=4,tdcosim/TDcoSim
bifacial_radiance,Toolkit for working with RADIANCE for the ray-trace modeling of Bifacial Photovoltaics.,NREL,https://github.com/NREL/bifacial_radiance.git,"radiance,bifacial,photovoltaics,renewable-energy,renewables,gui",Photovoltaics and Solar Energy,"2021/11/24, 19:44:13",52,0,15,true,Python,NREL,National Renewable Energy Laboratory,"Python,C++,TeX,C,Makefile,Awk",https://bifacial-radiance.readthedocs.io,"2017/12/13, 17:56:18",BSD-3-Clause,4,1025,"2021/10/28, 17:17:27",59,95,280,1,0.7,0.29161118508655126,"2020/05/27, 15:45:16",0.3.4,0,6,false,,false,false,https://avatars.githubusercontent.com/u/1906800?v=4,
autoXRD,"A Python package for automatic XRD pattern classification of thin-films, tweaked for small and class-imbalanced datasets.",PV-Lab,https://github.com/PV-Lab/autoXRD.git,,Photovoltaics and Solar Energy,"2021/10/13, 11:11:59",28,0,7,true,Python,MIT PVLab,PV-Lab,Python,,"2019/04/23, 19:15:53",Apache-2.0,0,32,"2021/10/28, 17:17:27",0,0,0,0,0,0.09999999999999998,"2019/05/24, 16:47:16",1.0,0,2,false,,false,false,https://avatars.githubusercontent.com/u/13911947?v=4,
BayesProcess,A Python package for Physics informed Bayesian network inference using neural network surrogate model for matching process / variable / performance in solar cells.,PV-Lab,https://github.com/PV-Lab/BayesProcess.git,,Photovoltaics and Solar Energy,"2021/10/14, 11:55:30",23,0,7,true,Jupyter Notebook,PV-Lab,MIT PVLab,"Jupyter Notebook,Python",,"2019/07/09, 04:43:23",MIT,1,17,"2021/10/28, 17:17:27",1,0,0,0,0,0.23076923076923073,,,0,2,false,,false,false,https://avatars.githubusercontent.com/u/13911947?v=4,
solcore5,"A multi-scale, Python-based library for the modeling of solar cells and semiconductor materials.",qpv-research-group,https://github.com/qpv-research-group/solcore5.git,"photovoltaic,semiconductor,solar-cells,python,hacktoberfest",Photovoltaics and Solar Energy,"2021/11/03, 05:32:48",71,1,16,true,Python,Quantum Photovoltaics Research Group,qpv-research-group,"Python,Fortran",https://www.solcore.solar/,"2017/10/29, 20:13:23",CUSTOM,45,742,"2021/10/24, 09:49:58",45,121,163,1,0.1,0.4753199268738574,"2021/09/18, 20:35:46",v5.7.5,7,21,false,,true,true,https://avatars.githubusercontent.com/u/48552948?v=4,qpv-research-group/rayflare
solax,Read energy usage data from the real-time API on Solax solar inverters.,squishykid,https://github.com/squishykid/solax.git,"solax,solar,photovoltaic,home-automation,iot,raspberry-pi",Photovoltaics and Solar Energy,"2021/11/01, 18:07:48",28,136,13,true,Python,Quantum Photovoltaics Research Group,,"Python,HTML",,"2019/04/09, 04:14:24",MIT,7,37,"2021/09/04, 11:21:01",5,20,43,1,0.6,0.11111111111111116,"2021/08/17, 03:26:36",v0.2.8,0,4,false,,false,false,https://avatars.githubusercontent.com/u/48552948?v=4,"informaticacba/core,HansAdema/prometheus-solax-exporter,coltoncat/core,Djelibeybi/home-assistant-core,Swissman1/home-assistant,fredrike/home-assistant,JonanOribe/home-assistant,matt-FFFFFF/home-assistant,matholiveira91/home-assistant,austinmroczek/home-assistant,aptalca/wheels,stewart123579/home-assistant-core,SiwatINC/home-assistant-tensorflow,drpreetyrai/IOT-HomeAssistance,nickovs/home-assistant,pailloM/core,mcanaleta/home-assistant-core,vsevolodpohvalenko/home-assistant,kjell5317/homeassistant-core,PlumeSolution/core,Danielhiversen/home-assistant,ahayworth/home-assistant,kerstef/home-assistant-core,vasili8m/core,12DEP/hikg,gjohansson-ST/core,paulmonigatti/home-assistant-core,ig596/core,matkastner/core,Antall/core,Codel1417/core,lbschenkel/home-assistant,estiens/core,acidburn0zzz/home-assistant,12DEP/gfgf,12DEP/hik,artchula/home-assistant,therealpedro/core,blastoise186/core,frankhildebrandt/home-assistant,zeehio/home-assistant,kyoujuro/core,kshartman/core,ritvikbhawnani/core,djwmarcx/core,CrossEyeORG/homeassistant,miltos04/core,Cyr-ius/home-assistant,DKAutomater/home-assistant,angelnu/core,Leviosa-Shades/core,Whoerr/core,mtdcr/home-assistant,fpetillo/home-assistant,qdotme/HomeAssistantRepository,thindiyeh/core,OpenPeerPower/core,joncar/home-assistant,piotrs112/home-assistant,bwghughes/octoclient,Vaarlion/core,Odianosen25/home-assistant,anngel78/core,ties/home-assistant,brentmaxwell/home-assistant,ConnectionMaster/home-assistant,lozoli/myio-integration,corbanmailloux/home-assistant-core,NigelRook/home-assistant,glance-/home-assistant,dannysauer/core,Sureshkumartv/core,TheLastGimbus/hass-core,alandtse/home-assistant,Pyhass/core,iracigt/home-assistant,mstovenour/home-assistant-core,jupe/home-assistant,ajk12345-code/home-assistant,derekxxx/core,mshiznitzh/core,johnkennyuk/core,crodriguezanton/core,DevSecNinja/core,ms32035/home-assistant,Watemlifts/home-assistant,escoand/home-assistant,keithkyle1989/core,mikeodr/core,sdwilsh/home-assistant,Verbalinsurection/Home-Assistant-core,diederikdevries/ha,Platinumwrist/core,Violet26/home-assistant,magicmatt007/core,Omrisnyk/home-assistant,Vman45/home-assistant,PakapongDev/home-assistant,brianjcarroll8/Home-Assistant-Core,gzsjw/HomeAssistantStudy,jmservera/home-assistant,JonGilmore/home-assistant,peternijssen/home-assistant,ZachT1711/home-assistant,tinker1992/home-assistant,klauern/home-assistant-core,hacf-fr/home-assistant-core,tribut/home-assistant,skeptycal/home-assistant,timmo001/core,phiberoptick/home-assistant,THATDONFC/home-assistant,DarkFox/home-assistant,sampou/homeassistant,artefolio/HomeAssistant,gpalsingh30/home-assistant-core,briangomez2016/core,84KaliPleXon3/home-assistant-core,aijayadams/core,gagebenne/home-assistant,mahadevanmani/home-assistant,switchpanel/ha-core,yenerhelvacioglu/homeasistant,Abigiris/home-assistant,bhchew/hass,MumiLila/gittest4,nordicenergy/home-assistant,gentoo-mirror/HomeAssistantRepository,onkelbeh/HomeAssistantRepository,Bulbutta/home-away,peterpanfy/homeassistant-sm,Watemlifts/Platform-Integration,Watemlifts/subsystems-,Watemlifts/Alfa,fabiandevia/home,home-assistant/core"
bifacialvf,Bifacial PV View Factor model for system performance calculation.,NREL,https://github.com/NREL/bifacialvf.git,,Photovoltaics and Solar Energy,"2021/11/08, 18:54:20",16,0,2,false,Python,NREL,National Renewable Energy Laboratory,Python,,"2017/12/13, 19:23:14",CUSTOM,0,92,"2020/06/09, 02:12:40",13,18,32,3,0.1,0.22857142857142854,"2019/07/05, 20:31:42",0.1.7,0,3,false,,false,false,https://avatars.githubusercontent.com/u/1906800?v=4,
solaR,Allows for reproducible research both for photovoltaics systems performance and solar radiation.,oscarperpinan,https://github.com/oscarperpinan/solar.git,,Photovoltaics and Solar Energy,"2021/10/18, 22:50:23",30,0,4,true,R,NREL,,R,http://oscarperpinan.github.io/solar/,"2013/07/28, 14:14:41",GPL-3.0,2,220,"2020/05/24, 17:51:32",5,0,12,0,0,0.0,"2014/04/27, 16:47:19",v0.38,0,1,false,,false,false,https://avatars.githubusercontent.com/u/1906800?v=4,
SolarTherm,Solar thermal power/fuel station performance simulation and optimization using Modelica.,SolarTherm,https://github.com/SolarTherm/SolarTherm.git,"engineering,energy,solar,thermodynamics,optimisation,simulation,modelica,modelica-library",Photovoltaics and Solar Energy,"2021/10/22, 12:59:09",20,0,6,true,Modelica,,SolarTherm,"Modelica,Python,C,Shell",,"2015/07/21, 05:23:10",LGPL-3.0,398,1277,"2021/11/03, 07:35:14",39,8,52,4,0.25,0.6436031331592689,,,0,8,false,,false,false,https://avatars.githubusercontent.com/u/15701216?v=4,
LibreSolar,Firmware for LibreSolar BMS boards based on bq769x0 or ISL94202.,LibreSolar,https://github.com/LibreSolar/bms-firmware.git,,Photovoltaics and Solar Energy,"2021/11/15, 08:58:31",42,0,16,true,C,Libre Solar Project,LibreSolar,"C,C++,CMake,Shell,Python",https://libre.solar/bms-firmware/,"2016/11/30, 11:19:50",Apache-2.0,54,142,"2021/11/01, 13:04:02",11,6,11,0,1.3333333333333333,0.021276595744680882,"2021/05/20, 12:46:38",v21.0,0,4,false,,false,false,https://avatars.githubusercontent.com/u/17674115?v=4,
Charge Controller Firmware,Firmware for LibreSolar MPPT/PWM charge controllers.,LibreSolar,https://github.com/LibreSolar/charge-controller-firmware.git,,Photovoltaics and Solar Energy,"2021/11/22, 16:01:36",84,0,17,true,C++,LibreSolar,Libre Solar Project,"C++,C,CMake,Batchfile,Shell,Python",https://libre.solar/charge-controller-firmware/,"2016/08/02, 12:03:35",Apache-2.0,56,442,"2021/06/08, 08:32:06",7,76,117,0,1.7,0.12085308056872035,"2021/04/14, 11:02:11",v21.0,0,9,false,,true,true,https://avatars.githubusercontent.com/u/17674115?v=4,
pvoutput,Python code for downloading PV data from PVOutput.org.,openclimatefix,https://github.com/openclimatefix/pvoutput.git,"pvoutput,python,python-library,solar,nowcasting",Photovoltaics and Solar Energy,"2021/11/23, 19:04:37",20,0,6,true,Python,Open Climate Fix,openclimatefix,Python,,"2019/07/16, 16:51:03",Apache-2.0,44,162,"2021/11/23, 18:28:54",26,23,51,1,0.4,0.2894736842105263,,,2,9,false,,false,false,https://avatars.githubusercontent.com/u/48357542?v=4,
predict_pv_yield,Use machine learning to map satellite imagery of clouds to solar PV yield.,openclimatefix,https://github.com/openclimatefix/predict_pv_yield.git,nowcasting,Photovoltaics and Solar Energy,"2021/11/26, 15:09:11",24,0,22,true,Jupyter Notebook,openclimatefix,Open Climate Fix,"Jupyter Notebook,Python",,"2020/09/30, 16:46:56",MIT,289,331,"2021/11/25, 16:55:11",39,14,42,0,1.1,0.3754266211604096,,,1,3,false,,false,false,https://avatars.githubusercontent.com/u/48357542?v=4,
solar-panel-detection,"Using a combination of AI (machine vision), open data and short-term forecasting, the project aims to determine the amount of solar electricity being put into the UK grid at a given time (i.e., ""right now"", or ""nowcasting"")",alan-turing-institute,https://github.com/alan-turing-institute/solar-panel-detection.git,"hut23,hut23-425",Photovoltaics and Solar Energy,"2021/09/28, 20:45:12",16,0,5,false,Jupyter Notebook,The Alan Turing Institute,alan-turing-institute,"Jupyter Notebook,TSQL,Python,Makefile",,"2019/11/13, 11:23:12",MIT,0,341,"2020/04/22, 08:13:07",7,30,55,1,0.4,0.33333333333333337,,,0,3,false,,false,false,https://avatars.githubusercontent.com/u/18304793?v=4,
solarpy,"This package aims to provide a reliable solar radiation model, mainly based on the work of Duffie, J.A., and Beckman, W. A., 1974, ""Solar energy thermal processes"".",aqreed,https://github.com/aqreed/solarpy.git,"solar-energy,solar-cells,sun-position,beam-irradiance,photovoltaic,python,modeling,simulation,flight-simulation",Photovoltaics and Solar Energy,"2021/11/03, 19:28:55",21,6,9,false,Python,The Alan Turing Institute,,Python,,"2019/07/28, 15:53:41",MIT,0,257,"2019/08/13, 12:22:22",6,0,1,1,0,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/18304793?v=4,"timcera/mettoolbox,kmiecikmichal/PV_ENERGY_PRODUCTION_FORECASTING,DCC-Lab/projetNeige,samurai-madrid/data-processing,samurai-madrid/reinforcement-learning,ebasanez/samur.ai"
solariot,Leverage your IoT enabled Solar PV Inverter to stream your solar energy usage data to a real time dashboard.,meltaxa,https://github.com/meltaxa/solariot.git,"freeboard,iot,solar-energy,sungrow-inverter,dashboard,pvoutput,modbus-sungrow,dweet,influxdb,telemetry",Photovoltaics and Solar Energy,"2021/11/25, 07:18:10",105,0,42,true,Python,The Alan Turing Institute,,"Python,JavaScript,Dockerfile",https://solariot.live,"2017/09/15, 12:26:12",MIT,59,131,"2021/11/14, 01:39:24",10,16,40,1,0.4,0.46153846153846156,,,0,8,false,,false,false,https://avatars.githubusercontent.com/u/18304793?v=4,
pvanalytics,"Quality control, filtering, feature labeling, and other tools for working with data from photovoltaic energy systems.",pvlib,https://github.com/pvlib/pvanalytics.git,,Photovoltaics and Solar Energy,"2021/11/13, 18:02:28",36,1,13,true,Python,pvlib,pvlib,Python,https://pvanalytics.readthedocs.io,"2020/02/18, 17:10:34",MIT,11,136,"2021/05/13, 13:11:16",14,67,98,2,3.0,0.10370370370370374,"2020/11/20, 15:11:07",v0.1.0,0,5,false,,true,false,https://avatars.githubusercontent.com/u/11037261?v=4,sandialabs/pvOps
IonMonger,A free and fast perovskite solar cell simulator with coupled ion vacancy and charge carrier dynamics in one dimension.,PerovskiteSCModelling,https://github.com/PerovskiteSCModelling/IonMonger.git,"perovskite-solar-cells,halide-ion-migration",Photovoltaics and Solar Energy,"2021/11/25, 18:01:56",16,0,6,true,MATLAB,,PerovskiteSCModelling,"MATLAB,TeX",https://join.slack.com/t/perovskitescmodelling/shared_invite/zt-q51flyog-KCxed~m9hX_cijghKPGHIg,"2019/08/22, 10:21:56",AGPL-3.0,29,55,"2021/08/12, 17:32:10",0,12,13,0,0.0,0.0,"2021/08/17, 16:15:46",v1.4,0,1,false,,false,false,https://avatars.githubusercontent.com/u/45872822?v=4,
